特－６図　妻の就業時間別共働き世帯数の推移（妻が64歳以下の世帯）,,,,
,,,,（万世帯）
,雇用者の共働き世帯（妻がパート（週35時間未満就業））（妻64歳以下）,雇用者の共働き世帯（妻がフルタイム（週35時間以上就業））（妻64歳以下）,妻パート（妻64歳以下）,妻フルタイム（妻64歳以下）
昭和60（1985）年,228,461,,
61（1986）年,243,474,,
62（1987）年,249,493,,
63（1988）年,274,490,,
平成元（1989）年,351,425,,
2（1990）年,312,504,,
3（1991）年,361,507,,
4（1992）年,395,508,,
5（1993）年,402,517,,
6（1994）年,420,511,,
7（1995）年,417,479,,
8（1996）年,428,488,,
9（1997）年,455,486,,
10（1998）年,463,480,,
11（1999）年,467,448,,
12（2000）年,469,458,,
13（2001）年,482,453,,
14（2002）年,498,439,,
15（2003）年,503,429,,
16（2004）年,502,442,,
17（2005）年,514,456,,
18（2006）年,496,459,,
19（2007）年,545,444,,
20（2008）年,555,429,,
21（2009）年,547,424,,
22（2010）年,554,432,537,409
23（2011）年,,,553,417
24（2012）年,582,440,,
25（2013）年,607,428,,
26（2014）年,629,414,,
27（2015）年,639,437,,
28（2016）年,639,447,,
29（2017）年,648,486,,
30（2018）年,692,470,,
令和元（2019）年,703,480,,
2（2020）年,708,469,,
3（2021）年,696,490,,
4（2022）年,696,496,,
5（2023）年,683,524,,
6（2024）年,694,527,,
7（2025）年,712,542,,
